x,y
287.022,49.55
289.019,48.57
290.017,47.59
292.014,46.61
294.011,45.63
295.009,44.65
297.006,43.67
298.004,42.69
300.001,41.71
301.998,40.73
301.998,39.75
303.994,38.77
304.993,37.79
305.991,36.81
306.989,35.83
307.988,34.85
309.984,33.87
310.983,32.89
311.981,31.91
312.979,30.93
314.976,29.95
314.976,28.97
315.974,27.99
316.973,27.01
317.971,26.03
318.969,25.05
319.968,24.07
319.968,23.09
320.966,22.11
321.964,21.13
322.963,20.15
323.961,19.17
323.961,18.19
324.959,17.21
325.958,16.23
325.958,15.25
326.956,14.27
327.954,13.29
327.954,12.31
328.953,11.33
329.951,10.35
323.961,9.37
313.978,8.39
308.986,7.41
301.998,6.43
290.017,5.45
272.047,4.47
251.082,3.49
