x,y
100.333,3.49
100.333,4.47
100.333,5.45
100.333,6.43
100.333,7.41
100.333,8.39
100.333,9.37
100.333,10.35
100.333,11.33
100.333,12.31
100.333,13.29
100.333,14.27
100.333,15.25
100.333,16.23
100.333,17.21
100.333,18.19
100.333,19.17
100.333,20.15
100.333,21.13
100.333,22.11
100.333,23.09
100.333,24.07
100.333,25.05
100.333,26.03
100.333,27.01
100.333,27.99
100.333,28.97
100.333,29.95
100.333,30.93
100.333,31.91
100.333,32.89
100.333,33.87
100.333,34.85
100.333,35.83
100.333,36.81
100.333,37.79
100.333,38.77
100.333,39.75
100.333,40.73
100.333,41.71
100.333,42.69
100.333,43.67
100.333,44.65
100.333,45.63
100.333,46.61
100.333,47.59
100.333,48.57
100.333,49.55
325.958,50.53
399.835,50.53
341.931,49.55
342.929,48.57
343.928,47.59
344.926,46.61
345.924,45.63
346.923,44.65
347.921,43.67
348.919,42.69
349.918,41.71
350.916,40.73
350.916,39.75
351.914,38.77
352.913,37.79
353.911,36.81
354.909,35.83
355.908,34.85
356.906,33.87
357.904,32.89
359.901,31.91
361.898,30.93
362.896,29.95
365.891,28.97
367.888,27.99
369.885,27.01
370.883,26.03
372.88,25.05
373.878,24.07
375.875,23.09
376.873,22.11
378.87,21.13
379.868,20.15
379.868,19.17
378.87,18.19
377.871,17.21
376.873,16.23
376.873,15.25
375.875,14.27
374.876,13.29
373.878,12.31
372.88,11.33
371.881,10.35
365.891,9.37
354.909,8.39
343.928,7.41
332.946,6.43
323.961,5.45
308.986,4.47
290.017,3.49
