x,y
100.333,3.49
100.333,4.47
100.333,5.45
100.333,6.43
100.333,7.41
100.333,8.39
100.333,9.37
100.333,10.35
100.333,11.33
100.333,12.31
100.333,13.29
100.333,14.27
100.333,15.25
100.333,16.23
100.333,17.21
100.333,18.19
100.333,19.17
100.333,20.15
100.333,21.13
100.333,22.11
100.333,23.09
100.333,24.07
100.333,25.05
100.333,26.03
100.333,27.01
100.333,27.99
100.333,28.97
100.333,29.95
100.333,30.93
100.333,31.91
100.333,32.89
100.333,33.87
100.333,34.85
100.333,35.83
100.333,36.81
100.333,37.79
100.333,38.77
100.333,39.75
100.333,40.73
100.333,41.71
100.333,42.69
100.333,43.67
100.333,44.65
100.333,45.63
100.333,46.61
100.333,47.59
100.333,48.57
100.333,49.55
325.958,50.53
394.843,50.53
333.944,49.55
334.943,48.57
335.941,47.59
336.939,46.61
337.938,45.63
338.936,44.65
339.934,43.67
339.934,42.69
340.933,41.71
341.931,40.73
342.929,39.75
343.928,38.77
345.924,37.79
346.923,36.81
347.921,35.83
348.919,34.85
350.916,33.87
351.914,32.89
352.913,31.91
353.911,30.93
355.908,29.95
357.904,28.97
360.9,27.99
362.896,27.01
364.893,26.03
366.89,25.05
367.888,24.07
369.885,23.09
370.883,22.11
372.88,21.13
373.878,20.15
373.878,19.17
372.88,18.19
371.881,17.21
371.881,16.23
370.883,15.25
369.885,14.27
368.886,13.29
368.886,12.31
367.888,11.33
367.888,10.35
360.9,9.37
348.919,8.39
338.936,7.41
328.953,6.43
319.968,5.45
304.993,4.47
284.027,3.49
