x,y
166.027,164.683
166.027,163.688
166.027,162.692
166.027,161.697
167.024,160.703
167.024,159.708
167.024,158.713
167.024,157.718
167.024,156.722
167.024,155.727
167.024,154.732
167.024,153.738
167.024,152.743
167.024,151.748
167.024,150.752
167.024,149.757
167.024,148.762
168.021,147.768
168.021,146.773
168.021,145.778
169.018,144.782
169.018,143.787
169.018,142.792
170.016,141.798
170.016,140.803
170.016,139.808
171.013,138.812
171.013,137.817
171.013,136.822
172.01,135.828
172.01,134.833
173.007,133.838
173.007,132.843
173.007,131.847
174.004,130.852
174.004,129.858
174.004,128.863
175.001,127.868
175.001,126.873
175.001,125.877
175.999,124.883
175.999,123.888
176.996,122.892
176.996,121.898
176.996,120.903
177.993,119.907
177.993,118.913
178.99,117.918
178.99,116.922
178.99,115.927
179.987,114.933
179.987,113.938
179.987,112.942
180.984,111.948
180.984,110.953
180.984,109.957
181.982,108.963
181.982,107.968
182.979,106.972
182.979,105.978
182.979,104.983
183.976,103.987
183.976,102.993
183.976,101.998
184.973,101.002
184.973,100.008
184.973,99.0125
184.973,98.0175
184.973,97.0225
184.973,96.0275
185.97,95.0325
185.97,94.0375
186.967,93.0425
187.964,92.0475
187.964,91.0525
188.962,90.0575
189.959,89.0625
190.956,88.0675
191.953,87.0725
191.953,86.0775
192.95,85.0825
193.947,84.0875
194.945,83.0925
195.942,82.0975
195.942,81.1025
196.939,80.1075
197.936,79.1125
198.933,78.1175
198.933,77.1225
199.93,76.1275
200.928,75.1325
201.925,74.1375
202.922,73.1425
203.919,72.1475
204.916,71.1525
205.913,70.1575
207.908,69.1625
208.905,68.1675
209.902,67.1725
210.899,66.1775
212.893,65.1825
213.891,64.1875
213.891,63.1925
214.888,62.1975
215.885,61.2025
216.882,60.2075
216.882,59.2125
217.879,58.2175
218.876,57.2225
219.874,56.2275
220.871,55.2325
221.868,54.2375
222.865,53.2425
223.862,52.2475
224.859,51.2525
225.857,50.2575
225.857,49.2625
226.854,48.2675
228.848,47.2725
229.845,46.2775
230.842,45.2825
231.839,44.2875
232.837,43.2925
233.834,42.2975
234.831,41.3025
235.828,40.3075
237.822,39.3125
239.817,38.3175
240.814,37.3225
242.808,36.3275
244.803,35.3325
246.797,34.3375
247.794,33.3425
250.786,32.3475
252.78,31.3525
255.771,30.3575
259.76,29.3625
263.749,28.3675
267.737,27.3725
269.732,26.3775
271.726,25.3825
273.72,24.3875
275.714,23.3925
278.706,22.3975
280.7,21.4025
282.695,20.4075
285.686,19.4125
288.678,18.4175
291.669,17.4225
294.661,16.4275
297.652,15.4325
300.643,14.4375
303.635,13.4425
307.624,12.4475
310.615,11.4525
314.604,10.4575
316.598,9.4625
317.595,8.4675
318.592,7.4725
319.589,6.4775
320.587,5.4825
309.618,4.4875
288.678,3.4925
245.8,2.4975
